20181001|13136|V2.0
CIMB-PRINCIPAL DPLUS|CIMB-PRINCIPAL iFIXED-R|0|
CIMB-PRINCIPAL DPLUS|CIMB-PRINCIPAL iDAILY-C|0|
CIMB-PRINCIPAL DPLUS|CIMB-PRINCIPAL iFIXED-C|0|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL (FAM) RMF|0|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL (FAM) LTF|0|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL (FAM) EEF|0|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL (FAM) GCF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL (FAM) VF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL (FAM) SET100RMF|0|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL (FAM) FBVRMF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL (FAM) RSRMF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL (FAM) DEF|0|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL (FAM) GEF|0|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iDIV-A|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iDIV-R|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iDIV-D|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL TREASURY|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL 70LTFD|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL FIRMF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL PRMF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL LTF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL EQRMF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL DAILY FIX|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL SET50|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL CII|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iPROP-R|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iPROP-D|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iDAILY-A|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iDAILY-R|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iDAILY-D|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iPROP-A|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL APDI|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iGOLD-A|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iGOLD-R|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iFIXED-A|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iFIXED-R|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iPROPRMF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL iBALANCED-R|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL JEQ|2|
